t,velL,velR,pwmL,pwmR
0,0,0,200,0
10,0,0,200,0
20,0,0,200,0
30,0,0,200,0
40,0,0,200,0
50,2,0,200,0
60,2,0,200,0
70,2,0,200,0
80,4,0,200,0
90,4,0,200,0
100,4,0,200,0
110,4,0,200,0
120,4,0,200,0
130,4,0,200,0
140,4,0,200,0
150,4,0,200,0
160,3,0,200,0
170,4,0,200,0
180,4,0,200,0
190,5,0,200,0
200,4,0,200,0
210,5,0,200,0
220,5,0,200,0
230,5,0,200,0
240,4,0,200,0
250,5,0,200,0
260,4,0,200,0
270,6,0,200,0
280,6,0,200,0
290,6,0,200,0
300,6,0,200,0
310,6,0,200,0
320,6,0,200,0
330,5,0,200,0
340,6,0,200,0
350,5,0,200,0
360,6,0,200,0
370,4,0,200,0
380,6,0,200,0
390,6,0,200,0
400,6,0,200,0
410,5,0,200,0
420,6,0,200,0
430,6,0,200,0
440,5,0,200,0
450,5,0,200,0
460,6,0,200,0
470,6,0,200,0
480,5,0,200,0
490,6,0,200,0
500,6,0,200,0
510,5,0,200,0
520,5,0,200,0
530,5,0,200,0
540,5,0,200,0
550,6,0,200,0
560,6,0,200,0
570,6,0,200,0
580,5,0,200,0
590,5,0,200,0
600,6,0,200,0
610,6,0,200,0
620,6,0,200,0
630,6,0,200,0
640,5,0,200,0
650,6,0,200,0
660,6,0,200,0
670,6,0,200,0
680,6,0,200,0
690,6,0,200,0
700,5,0,200,0
710,5,0,200,0
720,5,0,200,0
730,5,0,200,0
740,5,0,200,0
750,6,0,200,0
760,6,0,200,0
770,6,0,200,0
780,6,0,200,0
790,6,0,200,0
800,6,0,200,0
810,5,0,200,0
820,6,0,200,0
830,6,0,200,0
850,6,0,200,0
860,6,0,200,0
870,6,0,200,0
880,6,0,200,0
910,6,0,200,0
920,6,0,200,0
930,6,0,200,0
940,6,0,200,0
950,6,0,200,0
960,6,0,200,0
970,6,0,200,0
980,5,0,200,0
990,5,0,200,0
1000,6,0,200,0
1040,6,0,200,0
1050,6,0,200,0
1060,5,0,200,0
1070,5,0,200,0
1080,5,0,200,0
1090,5,0,200,0
1100,6,0,200,0
1110,5,0,200,0
1120,4,0,200,0
1130,5,0,200,0
1140,4,0,200,0
1150,4,0,200,0
1160,5,0,200,0
1170,5,0,200,0
1180,6,0,200,0
1190,5,0,200,0
1200,5,0,200,0
1210,5,0,200,0
1220,5,0,200,0
1230,5,0,200,0
1240,6,0,200,0
1250,6,0,200,0
1260,6,0,200,0
1270,6,0,200,0
1280,6,0,200,0
1290,6,0,200,0
1300,6,0,200,0
1320,5,0,200,0
1330,5,0,200,0
1340,5,0,200,0
1350,5,0,200,0
1360,6,0,200,0
1370,6,0,200,0
1380,5,0,200,0
1390,6,0,200,0
1400,5,0,200,0
1410,5,0,200,0
1420,5,0,200,0
1430,6,0,200,0
1440,6,0,200,0
1450,6,0,200,0
1460,6,0,200,0
1470,6,0,200,0
1480,5,0,200,0
1490,5,0,200,0
1500,5,0,200,0
1510,5,0,200,0
1520,6,0,200,0
1530,5,0,200,0
1540,6,0,200,0
1550,5,0,200,0
1560,6,0,200,0
1570,5,0,200,0
1580,6,0,200,0
1620,6,0,200,0
1630,6,0,200,0
1730,6,0,200,0
1740,6,0,200,0
1750,6,0,200,0
1770,5,0,200,0
1780,5,0,200,0
1800,6,0,200,0
1810,6,0,200,0
1820,6,0,200,0
1830,6,0,200,0
1840,5,0,200,0
1850,5,0,200,0
1860,4,0,200,0
1870,4,0,200,0
1880,4,0,200,0
1890,5,0,200,0
1900,5,0,200,0
1910,5,0,200,0
1920,5,0,200,0
1930,5,0,200,0
1940,5,0,200,0
1950,5,0,200,0
1960,6,0,200,0
1980,6,0,200,0
1990,6,0,200,0
2000,6,0,200,0
2010,6,0,200,0
2020,6,0,200,0
2030,5,0,200,0
2040,5,0,200,0
2050,5,0,200,0
2060,4,0,200,0
2070,5,0,200,0
2080,5,0,200,0
2090,5,0,200,0
2100,6,0,200,0
2110,5,0,200,0
2120,5,0,200,0
2130,6,0,200,0
2140,5,0,200,0
2150,6,0,200,0
2160,6,0,200,0
2170,6,0,200,0
2180,6,0,200,0
2190,6,0,200,0
2200,5,0,200,0
2210,5,0,200,0
2220,6,0,200,0
2230,5,0,200,0
2240,5,0,200,0
2250,5,0,200,0
2260,6,0,200,0
2270,4,0,200,0
2280,5,0,200,0
2290,5,0,200,0
2300,5,0,200,0
2310,5,0,200,0
2320,5,0,200,0
2330,5,0,200,0
2340,5,0,200,0
2350,4,0,200,0
2360,5,0,200,0
2370,5,0,200,0
2380,5,0,200,0
2390,6,0,200,0
2400,5,0,200,0
2410,5,0,200,0
2420,5,0,200,0
2430,6,0,200,0
2440,6,0,200,0
2450,6,0,200,0
2460,6,0,200,0
2480,6,0,200,0
2490,6,0,200,0
2500,5,0,200,0
2510,5,0,200,0
2520,5,0,200,0
2530,5,0,200,0
2540,5,0,200,0
2550,5,0,200,0
2560,5,0,200,0
2570,5,0,200,0
2580,6,0,200,0
2590,6,0,200,0
2610,6,0,200,0
2620,6,0,200,0
2630,5,0,200,0
2640,5,0,200,0
2650,5,0,200,0
2660,4,0,200,0
2670,4,0,200,0
2680,4,0,200,0
2690,5,0,200,0
2700,5,0,200,0
2710,5,0,200,0
2720,5,0,200,0
2730,6,0,200,0
2740,4,0,200,0
2750,4,0,200,0
2760,4,0,200,0
2770,4,0,200,0
2780,4,0,200,0
2790,5,0,200,0
2800,6,0,200,0
2820,6,0,200,0
2840,6,0,200,0
2850,6,0,200,0
2860,6,0,200,0
2870,6,0,200,0
2880,6,0,200,0
2890,6,0,200,0
2910,6,0,200,0
2920,6,0,200,0
2930,6,0,200,0
2940,6,0,200,0
2950,5,0,200,0
2960,5,0,200,0
2970,5,0,200,0
2980,5,0,200,0
2990,5,0,200,0
3000,4,0,200,0
3010,5,0,200,0
3020,5,0,200,0
3030,5,0,200,0
3040,5,0,200,0
3050,5,0,200,0
3060,5,0,200,0
3070,6,0,200,0
3080,5,0,200,0
3090,5,0,200,0
3100,5,0,200,0
3110,6,0,200,0
3120,6,0,200,0
3130,5,0,200,0
3140,5,0,200,0
3150,5,0,200,0
3160,5,0,200,0
3170,5,0,200,0
3180,5,0,200,0
3190,5,0,200,0
3200,5,0,200,0
3210,5,0,200,0
3220,5,0,200,0
3230,5,0,200,0
3240,6,0,200,0
3260,5,0,200,0
3270,6,0,200,0
3280,6,0,200,0
3290,6,0,200,0
3310,6,0,200,0
3320,6,0,200,0
3330,6,0,200,0
3340,5,0,200,0
3350,4,0,200,0
3360,4,0,200,0
3370,5,0,200,0
3380,6,0,200,0
3390,5,0,200,0
3400,5,0,200,0
3410,6,0,200,0
3420,5,0,200,0
3430,5,0,200,0
3440,5,0,200,0
3450,6,0,200,0
3460,6,0,200,0
3470,6,0,200,0
3480,6,0,200,0
3490,6,0,200,0
3500,5,0,200,0
3510,5,0,200,0
3520,5,0,200,0
3530,4,0,200,0
3540,4,0,200,0
3550,5,0,200,0
3560,4,0,200,0
3570,4,0,200,0
3580,5,0,200,0
3590,5,0,200,0
3600,4,0,200,0
3610,5,0,200,0
3620,5,0,200,0
3630,6,0,200,0
3640,6,0,200,0
3650,6,0,200,0
3660,6,0,200,0
3670,5,0,200,0
3680,5,0,200,0
3690,5,0,200,0
3700,5,0,200,0
3710,6,0,200,0
3720,6,0,200,0
3730,5,0,200,0
3740,5,0,200,0
3750,6,0,200,0
3760,5,0,200,0
3770,5,0,200,0
3780,5,0,200,0
3790,6,0,200,0
3800,5,0,200,0
3810,5,0,200,0
3820,5,0,200,0
3830,5,0,200,0
3840,5,0,200,0
3850,5,0,200,0
3860,5,0,200,0
3870,5,0,200,0
3890,6,0,200,0
3900,6,0,200,0
3910,5,0,200,0
3920,6,0,200,0
3930,5,0,200,0
3940,5,0,200,0
3950,5,0,200,0
3960,5,0,200,0
3970,4,0,200,0
3980,4,0,200,0
3990,4,0,200,0
4000,5,0,200,0
4010,6,0,200,0
4020,5,0,200,0
4030,5,0,200,0
4050,6,0,200,0
4060,5,0,200,0
4070,5,0,200,0
4080,6,0,200,0
4090,4,0,200,0
4100,4,0,200,0
4110,5,0,200,0
4120,5,0,200,0
4130,6,0,200,0
4140,6,0,200,0
4150,6,0,200,0
4160,6,0,200,0
4180,5,0,200,0
4190,5,0,200,0
4200,4,0,200,0
4210,4,0,200,0
4220,5,0,200,0
4230,5,0,200,0
4240,5,0,200,0
4250,6,0,200,0
4260,5,0,200,0
4270,4,0,200,0
4280,5,0,200,0
4290,5,0,200,0
4300,4,0,200,0
4310,4,0,200,0
4320,4,0,200,0
4330,5,0,200,0
4340,6,0,200,0
4350,5,0,200,0
4360,5,0,200,0
4370,6,0,200,0
4390,5,0,200,0
4420,6,0,200,0
4430,6,0,200,0
4440,6,0,200,0
4450,5,0,200,0
4460,5,0,200,0
4470,6,0,200,0
4480,5,0,200,0
4490,5,0,200,0
4500,5,0,200,0
4510,6,0,200,0
4520,5,0,200,0
4530,5,0,200,0
4540,6,0,200,0
4550,5,0,200,0
4560,5,0,200,0
4570,5,0,200,0
4580,6,0,200,0
4590,4,0,200,0
4600,6,0,200,0
4610,6,0,200,0
4620,5,0,200,0
4630,6,0,200,0
4640,6,0,200,0
4650,5,0,200,0
4660,5,0,200,0
4670,5,0,200,0
4680,6,0,200,0
4730,6,0,200,0
4740,5,0,200,0
4750,5,0,200,0
4760,4,0,200,0
4770,4,0,200,0
4780,4,0,200,0
4790,5,0,200,0
4800,4,0,200,0
4810,5,0,200,0
4820,6,0,200,0
4830,6,0,200,0
4860,6,0,200,0
4870,6,0,200,0
4900,6,0,200,0
4910,6,0,200,0
4940,6,0,200,0
4950,6,0,200,0
4960,6,0,200,0
4970,6,0,200,0
5030,6,0,200,0
5040,6,0,200,0
5050,6,0,200,0
5060,5,0,200,0
5070,5,0,200,0
5080,5,0,200,0
5090,5,0,200,0
5100,5,0,200,0
5110,5,0,200,0
5120,5,0,200,0
5130,5,0,200,0
5140,6,0,200,0
5150,5,0,200,0
5160,5,0,200,0
5170,5,0,200,0
5180,4,0,200,0
5190,5,0,200,0
5200,5,0,200,0
5210,6,0,200,0
5230,6,0,200,0
5240,6,0,200,0
5260,6,0,200,0
5270,6,0,200,0
5280,6,0,200,0
5290,6,0,200,0
5300,6,0,200,0
5310,5,0,200,0
5320,6,0,200,0
5330,6,0,200,0
5340,5,0,200,0
5350,5,0,200,0
5360,4,0,200,0
5370,4,0,200,0
5380,5,0,200,0
5390,5,0,200,0
5400,6,0,200,0
5410,6,0,200,0
5420,6,0,200,0
5430,6,0,200,0
5440,6,0,200,0
5450,6,0,200,0
5460,6,0,200,0
5470,6,0,200,0
5480,6,0,200,0
5490,6,0,200,0
5500,6,0,200,0
5510,6,0,200,0
5520,5,0,200,0
5530,5,0,200,0
5540,5,0,200,0
5550,5,0,200,0
5560,6,0,200,0
5570,5,0,200,0
5580,6,0,200,0
5600,5,0,200,0
5610,5,0,200,0
5620,5,0,200,0
5630,5,0,200,0
5640,5,0,200,0
5650,5,0,200,0
5660,4,0,200,0
5670,6,0,200,0
5680,5,0,200,0
5690,5,0,200,0
5700,5,0,200,0
5710,6,0,200,0
5720,5,0,200,0
5730,5,0,200,0
5740,5,0,200,0
5750,5,0,200,0
5760,4,0,200,0
5770,4,0,200,0
5780,5,0,200,0
5790,5,0,200,0
5800,5,0,200,0
5810,5,0,200,0
5820,5,0,200,0
5830,5,0,200,0
5840,5,0,200,0
5850,6,0,200,0
5860,5,0,200,0
5870,5,0,200,0
5880,5,0,200,0
5890,5,0,200,0
5900,5,0,200,0
5910,4,0,200,0
5920,4,0,200,0
5930,5,0,200,0
5940,3,0,200,0
5950,4,0,200,0
5960,4,0,200,0
5970,5,0,200,0
5980,5,0,200,0
5990,5,0,200,0
6000,6,0,200,0
6020,5,0,200,0
6030,5,0,200,0
6040,5,0,200,0
6050,6,0,200,0
6060,6,0,200,0
6070,6,0,200,0
6080,6,0,200,0
6090,6,0,200,0
6100,5,0,200,0
6110,5,0,200,0
6120,4,0,200,0
6130,5,0,200,0
6140,6,0,200,0
6150,4,0,200,0
6160,5,0,200,0
6170,6,0,200,0
6180,5,0,200,0
6190,6,0,200,0
6200,6,0,200,0
6210,5,0,200,0
6220,5,0,200,0
6230,5,0,200,0
6240,5,0,200,0
6250,5,0,200,0
6260,5,0,200,0
6270,6,0,200,0
6280,4,0,200,0
6290,5,0,200,0
6300,6,0,200,0
6310,6,0,200,0
6320,6,0,200,0
6330,6,0,200,0
6340,6,0,200,0
6350,5,0,200,0
6360,5,0,200,0
6370,6,0,200,0
6390,5,0,200,0
6400,5,0,200,0
6410,5,0,200,0
6420,4,0,200,0
6430,4,0,200,0
6440,5,0,200,0
6450,5,0,200,0
6460,6,0,200,0
6470,5,0,200,0
6480,6,0,200,0
6490,6,0,200,0
6500,6,0,200,0
6510,5,0,200,0
6520,5,0,200,0
6530,6,0,200,0
6550,5,0,200,0
6560,6,0,200,0
6570,6,0,200,0
6580,6,0,200,0
6590,5,0,200,0
6600,5,0,200,0
6610,6,0,200,0
6630,6,0,200,0
6640,6,0,200,0
6650,6,0,200,0
6670,6,0,200,0
6680,6,0,200,0
6690,6,0,200,0
6700,5,0,200,0
6710,4,0,200,0
6720,4,0,200,0
6730,4,0,200,0
6740,6,0,200,0
6750,6,0,200,0
6760,5,0,200,0
6770,5,0,200,0
6780,5,0,200,0
6790,4,0,200,0
6800,5,0,200,0
6810,5,0,200,0
6820,5,0,200,0
6830,6,0,200,0
6840,5,0,200,0
6850,5,0,200,0
6860,6,0,200,0
6870,6,0,200,0
6880,6,0,200,0
6890,6,0,200,0
6900,6,0,200,0
6910,5,0,200,0
6920,5,0,200,0
6930,4,0,200,0
6940,5,0,200,0
6950,6,0,200,0
6960,6,0,200,0
6970,5,0,200,0
6980,5,0,200,0
6990,6,0,200,0
7000,4,0,200,0
7010,4,0,200,0
7020,4,0,200,0
7030,4,0,200,0
7040,4,0,200,0
7050,3,0,200,0
7060,3,0,200,0
7070,3,0,200,0
7080,4,0,200,0
7090,4,0,200,0
7100,4,0,200,0
7110,5,0,200,0
7120,5,0,200,0
7130,4,0,200,0
7140,4,0,200,0
7150,5,0,200,0
7160,4,0,200,0
7170,5,0,200,0
7180,5,0,200,0
7190,6,0,200,0
7200,6,0,200,0
7210,5,0,200,0
7220,5,0,200,0
7230,5,0,200,0
7240,5,0,200,0
7250,5,0,200,0
7260,5,0,200,0
7270,6,0,200,0
7290,6,0,200,0
7300,6,0,200,0
7310,6,0,200,0
7320,6,0,200,0
7330,5,0,200,0
7340,5,0,200,0
7350,5,0,200,0
7360,4,0,200,0
7370,4,0,200,0
7380,4,0,200,0
7390,5,0,200,0
7400,5,0,200,0
7410,6,0,200,0
7420,5,0,200,0
7430,5,0,200,0
7440,5,0,200,0
7450,4,0,200,0
7460,4,0,200,0
7470,4,0,200,0
7480,5,0,200,0
7490,6,0,200,0
7510,6,0,200,0
7520,6,0,200,0
7530,6,0,200,0
7540,6,0,200,0
7550,6,0,200,0
7560,5,0,200,0
7580,6,0,200,0
7590,5,0,200,0
7600,5,0,200,0
7610,5,0,200,0
7620,4,0,200,0
7630,4,0,200,0
7640,4,0,200,0
7650,5,0,200,0
7660,4,0,200,0
7670,5,0,200,0
7680,4,0,200,0
7690,5,0,200,0
7700,6,0,200,0
7710,4,0,200,0
7720,4,0,200,0
7730,4,0,200,0
7740,5,0,200,0
7750,5,0,200,0
7760,4,0,200,0
7770,4,0,200,0
7790,5,0,200,0
7800,5,0,200,0
7810,6,0,200,0
7830,6,0,200,0
7840,6,0,200,0
7850,6,0,200,0
7860,5,0,200,0
7870,5,0,200,0
7880,4,0,200,0
7890,4,0,200,0
7900,5,0,200,0
7910,6,0,200,0
7920,5,0,200,0
7930,5,0,200,0
7940,6,0,200,0
7950,4,0,200,0
7960,4,0,200,0
7970,4,0,200,0
7980,5,0,200,0
7990,5,0,200,0
8000,5,0,200,0
8010,5,0,200,0
8020,5,0,200,0
8030,4,0,200,0
8040,5,0,200,0
8050,4,0,200,0
8060,4,0,200,0
8070,4,0,200,0
8080,5,0,200,0
8090,5,0,200,0
8100,5,0,200,0
8110,5,0,200,0
8120,6,0,200,0
8130,5,0,200,0
8140,5,0,200,0
8150,5,0,200,0
8160,4,0,200,0
8170,5,0,200,0
8180,5,0,200,0
8190,4,0,200,0
8200,5,0,200,0
8210,5,0,200,0
8220,5,0,200,0
8230,5,0,200,0
8240,6,0,200,0
8250,6,0,200,0
8260,5,0,200,0
8270,6,0,200,0
8280,6,0,200,0
8290,6,0,200,0
8300,6,0,200,0
8310,6,0,200,0
8320,5,0,200,0
8330,5,0,200,0
8340,5,0,200,0
8350,5,0,200,0
8360,5,0,200,0
8370,6,0,200,0
8390,5,0,200,0
8400,5,0,200,0
8410,6,0,200,0
8420,5,0,200,0
8430,5,0,200,0
8440,5,0,200,0
8450,5,0,200,0
8460,5,0,200,0
8470,5,0,200,0
8480,5,0,200,0
8490,5,0,200,0
8500,5,0,200,0
8510,5,0,200,0
8520,5,0,200,0
8530,5,0,200,0
8540,5,0,200,0
8550,4,0,200,0
8560,4,0,200,0
8570,5,0,200,0
8580,4,0,200,0
8590,5,0,200,0
8600,5,0,200,0
8610,6,0,200,0
8620,6,0,200,0
8630,6,0,200,0
8660,6,0,200,0
8670,5,0,200,0
8680,5,0,200,0
8690,6,0,200,0
8700,6,0,200,0
8710,5,0,200,0
8720,6,0,200,0
8730,6,0,200,0
8740,4,0,200,0
8750,4,0,200,0
8760,4,0,200,0
8770,4,0,200,0
8780,4,0,200,0
8790,4,0,200,0
8800,5,0,200,0
8810,5,0,200,0
8820,4,0,200,0
8830,4,0,200,0
8840,4,0,200,0
8850,5,0,200,0
8860,5,0,200,0
8870,4,0,200,0
8880,4,0,200,0
8890,4,0,200,0
8900,4,0,200,0
8910,5,0,200,0
8920,5,0,200,0
8930,5,0,200,0
8940,6,0,200,0
8950,4,0,200,0
8960,4,0,200,0
8970,4,0,200,0
8980,4,0,200,0
8990,5,0,200,0
9000,5,0,200,0
9010,6,0,200,0
9020,6,0,200,0
9030,6,0,200,0
9040,6,0,200,0
9050,6,0,200,0
9060,6,0,200,0
9080,5,0,200,0
9090,5,0,200,0
9100,5,0,200,0
9110,5,0,200,0
9120,5,0,200,0
9130,5,0,200,0
9140,5,0,200,0
9150,5,0,200,0
9160,6,0,200,0
9170,6,0,200,0
9180,6,0,200,0
9210,6,0,200,0
9220,6,0,200,0
9240,5,0,200,0
9250,5,0,200,0
9260,5,0,200,0
9270,5,0,200,0
9280,6,0,200,0
9290,6,0,200,0
9300,6,0,200,0
9310,6,0,200,0
9320,6,0,200,0
9330,6,0,200,0
9340,6,0,200,0
9350,6,0,200,0
9370,6,0,200,0
9380,6,0,200,0
9390,6,0,200,0
9400,6,0,200,0
9440,6,0,200,0
9450,6,0,200,0
9460,6,0,200,0
9470,6,0,200,0
9480,6,0,200,0
9500,6,0,200,0
9510,6,0,200,0
9530,6,0,200,0
9540,5,0,200,0
9550,6,0,200,0
9560,6,0,200,0
9570,5,0,200,0
9580,5,0,200,0
9590,5,0,200,0
9600,5,0,200,0
9610,4,0,200,0
9620,5,0,200,0
9630,5,0,200,0
9640,5,0,200,0
9650,4,0,200,0
9660,5,0,200,0
9670,5,0,200,0
9680,5,0,200,0
9690,5,0,200,0
9700,6,0,200,0
9710,6,0,200,0
9720,6,0,200,0
9730,5,0,200,0
9740,6,0,200,0
9750,6,0,200,0
9760,6,0,200,0
9770,5,0,200,0
9780,5,0,200,0
9790,4,0,200,0
9800,4,0,200,0
9810,4,0,200,0
9820,5,0,200,0
9830,6,0,200,0
9840,5,0,200,0
9850,5,0,200,0
9860,6,0,200,0
9870,5,0,200,0
9880,5,0,200,0
9890,5,0,200,0
9900,5,0,200,0
9910,4,0,200,0
9920,5,0,200,0
9930,4,0,200,0
9940,5,0,200,0
9950,5,0,200,0
9960,5,0,200,0
9970,5,0,200,0
9980,5,0,200,0
9990,6,0,200,0
10000,5,0,0,0
10010,5,0,0,0
